intake_type,intake_subtype,secondary_breed,Breed,AKC_Extended,KennelCardBreed,LOS,AgeGroup,age
STRAY,OTC,unknown,Shih Tzu,Toy,With Breed,5,Adult (1-7yr),1.9129311827723892
OWNER SURR,OTC,unknown,Bichon Frise,Non-sporting,With Breed,6,Adult (1-7yr),1.709975946676697
STRAY,OTC,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,8,Puppy (0-4mo),0.5848035476425733
CONFISCATE,BITE,MIX,American Staffordshire Terrier,Pit Bull Types,With Breed,10,Adolescent (5-12mo),1.0
STRAY,OTC,MIX,Border Terrier,Other Terriers,Without Breed,1,Puppy (0-4mo),0.5848035476425733
OWNED,unknown,unknown,English Springer Spaniel,Sporting,Without Breed,8,Adult (1-7yr),1.4422495703074083
STRAY,OTC,MIX,Russell Terrier (Jack Russell),Other Terriers,Without Breed,0,Senior (8+yr),2.4101422641752297
STRAY,FIELD,unknown,Pembroke Welsh Corgi,Herding,Without Breed,0,Puppy (0-4mo),0.0
OWNER SURR,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,21,Adult (1-7yr),1.4422495703074083
STRAY,OTC,MIX,Shiba Inu,Non-sporting,Without Breed,8,Adolescent (5-12mo),1.0
OWNER SURR,OTC,unknown,Cocker Spaniel,Sporting,With Breed,2,Adult (1-7yr),1.8171205928321394
STRAY,FIELD,unknown,Cocker Spaniel,Sporting,Without Breed,31,Senior (8+yr),2.0
OWNER SURR,OTC,JACK RUSS TER,Miniature Pinscher,Toy,With Breed,3,Adult (1-7yr),1.709975946676697
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,With Breed,7,Adolescent (5-12mo),1.0
CONFISCATE,BITE,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,5,Senior (8+yr),2.2894284851066637
OWNER SURR,OTC,GERM SHEPHERD,Collie,Herding,Without Breed,5,Adult (1-7yr),1.4422495703074083
STRAY,OTC,LABRADOR RETR,Boxer,Working,With Breed,14,Adolescent (5-12mo),0.928317766722556
OWNER SURR,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,3,Adolescent (5-12mo),0.8879040017426006
STRAY,FIELD,unknown,Chihuahua,Toy,With Breed,11,Adult (1-7yr),1.4422495703074083
STRAY,OTC,unknown,Tibetan Terrier,Non-sporting,Without Breed,7,Adult (1-7yr),1.4422495703074083
STRAY,OTC,unknown,Yorkshire Terrier,Toy,Without Breed,1,Senior (8+yr),2.1179117921274466
RETURN,OTC,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,9,Adult (1-7yr),1.259921049894873
OWNER SURR,OTC,unknown,Labrador Retreiver,Sporting,With Breed,10,Adult (1-7yr),1.709975946676697
STRAY,FIELD,BOXER,American Staffordshire Terrier,Pit Bull Types,Without Breed,30,Puppy (0-4mo),0.0
OWNER SURR,OTC,unknown,Chihuahua,Toy,Without Breed,2,Adult (1-7yr),1.259921049894873
OWNER SURR,FIELD,unknown,Chihuahua,Toy,With Breed,0,Senior (8+yr),2.154434690031884
STRAY,OTC,MIX,Yorkshire Terrier,Toy,Without Breed,7,Adult (1-7yr),1.4422495703074083
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,31,Puppy (0-4mo),0.0
STRAY,OTC,MIX,Labrador Retreiver,Sporting,Without Breed,6,Adolescent (5-12mo),0.8434326653017492
STRAY,FIELD,MIX,Rat Terrier,Other Terriers,Without Breed,4,Adolescent (5-12mo),1.0
EUTH REQ,OTC OWNED,unknown,Shih Tzu,Toy,Without Breed,0,Senior (8+yr),2.4662120743304703
STRAY,OTC,GERM SHEPHERD,American Staffordshire Terrier,Pit Bull Types,Without Breed,15,Adolescent (5-12mo),1.0
STRAY,OTC,unknown,Pointer,Sporting,With Breed,15,Adolescent (5-12mo),1.0
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,31,Puppy (0-4mo),0.0
OWNER SURR,OTC,unknown,Chihuahua,Toy,With Breed,2,Senior (8+yr),2.154434690031884
STRAY,OTC,BEAGLE,Pug,Toy,Without Breed,9,Adult (1-7yr),1.4422495703074083
STRAY,OTC,unknown,English Cocker Spaniel,Sporting,With Breed,7,Adolescent (5-12mo),1.0
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,8,Adolescent (5-12mo),1.0
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,With Breed,7,Adolescent (5-12mo),1.0
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,4,Adolescent (5-12mo),1.0
STRAY,OTC,unknown,Boxer,Working,Without Breed,1,Adult (1-7yr),1.4422495703074083
STRAY,FIELD,unknown,Treeing Walker Coonhound,Hound,Without Breed,20,Adult (1-7yr),1.4422495703074083
OWNER SURR,OTC,unknown,Chihuahua,Toy,With Breed,13,Adolescent (5-12mo),1.0
STRAY,FIELD,MIX,Labrador Retreiver,Sporting,With Breed,8,Puppy (0-4mo),0.5848035476425733
STRAY,OTC,MIX,Cocker Spaniel,Sporting,With Breed,5,Adult (1-7yr),1.5874010519681994
STRAY,FIELD,MIX,Labrador Retreiver,Sporting,With Breed,9,Adolescent (5-12mo),1.0
