intake_date,animal_id,intake_type,intake_subtype,outcome_date,outcome_type,primary_breed,secondary_breed,years_old,months_old,OutcomeGroup,Breed,PitBullType,PitBullExpanded,AKC,AKC_Extended,KennelCardBreed,LOS,AgeGroup
2013-04-15,A261767,STRAY,OTC,2013-04-29,ADOPTION,AIREDALE TERR,JACK RUSS TER,4,0.0,Adopt/Live Exit,Airedale Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,14,Adult (1-7yr)
2014-01-22,A283915,OWNER SURR,FIELD,2014-02-01,ADOPTION,AIREDALE TERR,SHIH TZU,1,1.0,Adopt/Live Exit,Airedale Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,10,Adult (1-7yr)
2014-01-22,A283918,OWNER SURR,FIELD,2014-01-31,ADOPTION,AIREDALE TERR,SHIH TZU,1,1.0,Adopt/Live Exit,Airedale Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,9,Adult (1-7yr)
2013-02-11,A256935,STRAY,FIELD,2013-02-15,ADOPTION,AIREDALE TERR,MIX,2,0.0,Adopt/Live Exit,Airedale Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,4,Adult (1-7yr)
2014-01-06,A282788,STRAY,FIELD,2014-01-08,EUTH,AIREDALE TERR,MIX,6,0.0,Euthanized/Dead,Airedale Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,2,Adult (1-7yr)
2013-05-07,A263802,STRAY,FIELD,2013-06-07,LOST EXP,AUST TERRIER,unknown,0,0.0,Lost/Found/Missing,Australian Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,31,Puppy (0-4mo)
2013-02-23,A257826,STRAY,FIELD,2013-03-08,ADOPTION,AUST TERRIER,SCHNAUZER MIN,0,8.0,Adopt/Live Exit,Australian Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,13,Adolescent (5-12mo)
2014-01-08,A283004,STRAY,OTC,2014-01-15,ADOPTION,AUST TERRIER,MIX,2,0.0,Adopt/Live Exit,Australian Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
2013-07-13,A270078,STRAY,OTC,2013-07-15,RTO,AUST TERRIER,MIX,0,9.0,Adopt/Live Exit,Australian Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,2,Adolescent (5-12mo)
2013-08-06,A272177,STRAY,FIELD,2013-08-07,RTO,AUST TERRIER,MIX,2,0.0,Adopt/Live Exit,Australian Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,1,Adult (1-7yr)
2013-08-14,A272762,STRAY,OTC,2013-08-29,RESCUE,BORDER TERRIER,MIX,7,0.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,15,Adult (1-7yr)
2013-11-23,A280310,STRAY,OTC,2013-12-04,FOSTER,BORDER TERRIER,MIX,0,3.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,11,Puppy (0-4mo)
2013-05-18,A264790,STRAY,OTC,2013-05-28,ADOPTION,BORDER TERRIER,MIX,8,0.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,10,Senior (8+yr)
2013-09-14,A275071,STRAY,OTC,2013-09-24,ADOPTION,BORDER TERRIER,MIX,1,0.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,10,Adolescent (5-12mo)
2013-11-06,A279171,STRAY,OTC,2013-11-15,RESCUE,BORDER TERRIER,unknown,2,0.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,9,Adult (1-7yr)
2013-12-17,A281706,STRAY,OTC,2013-12-26,ADOPTION,BORDER TERRIER,MIX,1,5.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,9,Adult (1-7yr)
2013-05-20,A264849,OWNER SURR,OTC,2013-05-28,ADOPTION,BORDER TERRIER,MIX,1,0.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,8,Adolescent (5-12mo)
2013-12-23,A282127,OWNER SURR,OTC,2013-12-31,ADOPTION,BORDER TERRIER,SHIH TZU,0,10.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,8,Adolescent (5-12mo)
2014-01-03,A282690,OWNER SURR,OTC,2014-01-11,RESCUE,BORDER TERRIER,MIX,1,0.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,8,Adolescent (5-12mo)
2014-01-27,A284175,STRAY,OTC,2014-02-04,ADOPTION,BORDER TERRIER,MIX,3,0.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,8,Adult (1-7yr)
2013-02-14,A257186,STRAY,FIELD,2013-02-21,ADOPTION,BORDER TERRIER,MIX,1,6.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
2013-07-08,A269523,OWNER SURR,OTC,2013-07-15,ADOPTION,BORDER TERRIER,MIX,0,6.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adolescent (5-12mo)
2013-07-15,A270160,STRAY,OTC,2013-07-22,RESCUE,BORDER TERRIER,MIX,5,0.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
2013-10-31,A278775,STRAY,OTC,2013-11-07,ADOPTION,BORDER TERRIER,MIX,6,0.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
2013-11-07,A279240,STRAY,OTC,2013-11-14,ADOPTION,BORDER TERRIER,MIX,0,3.5,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Puppy (0-4mo)
2013-03-13,A242219,STRAY,OTC,2013-03-19,ADOPTION,BORDER TERRIER,unknown,0,11.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adolescent (5-12mo)
2013-03-15,A259310,STRAY,OTC,2013-03-21,ADOPTION,BORDER TERRIER,MIX,0,10.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adolescent (5-12mo)
2013-03-15,A259311,STRAY,OTC,2013-03-21,RESCUE,BORDER TERRIER,MIX,0,10.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adolescent (5-12mo)
2013-04-03,A260760,FOSTER,OTC,2013-04-09,FOSTER,BORDER TERRIER,MIX,0,1.1,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Puppy (0-4mo)
2013-04-03,A260762,STRAY,OTC,2013-04-09,FOSTER,BORDER TERRIER,MIX,0,6.0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adolescent (5-12mo)
