intake_date,animal_id,intake_type,intake_subtype,outcome_date,outcome_type,primary_breed,secondary_breed,years_old,months_old,OutcomeGroup,Breed,PitBullType,PitBullExpanded,AKC,AKC_Extended,KennelCardBreed,LOS,AgeGroup
4/15/13,A261767,STRAY,OTC,4/29/13,ADOPTION,AIREDALE TERR,JACK RUSS TER,4,0,Adopt/Live Exit,Airedale Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,14,Adult (1-7yr)
1/22/14,A283915,OWNER SURR,FIELD,2/1/14,ADOPTION,AIREDALE TERR,SHIH TZU,1,1,Adopt/Live Exit,Airedale Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,10,Adult (1-7yr)
1/22/14,A283918,OWNER SURR,FIELD,1/31/14,ADOPTION,AIREDALE TERR,SHIH TZU,1,1,Adopt/Live Exit,Airedale Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,9,Adult (1-7yr)
2/11/13,A256935,STRAY,FIELD,2/15/13,ADOPTION,AIREDALE TERR,MIX,2,0,Adopt/Live Exit,Airedale Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,4,Adult (1-7yr)
1/6/14,A282788,STRAY,FIELD,1/8/14,EUTH,AIREDALE TERR,MIX,6,0,Euthanized/Dead,Airedale Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,2,Adult (1-7yr)
5/7/13,A263802,STRAY,FIELD,6/7/13,LOST EXP,AUST TERRIER, ,0,0,Lost/Found/Missing,Australian Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,31,Puppy (0-4mo)
2/23/13,A257826,STRAY,FIELD,3/8/13,ADOPTION,AUST TERRIER,SCHNAUZER MIN,0,8,Adopt/Live Exit,Australian Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,13,Adolescent (5-12mo)
1/8/14,A283004,STRAY,OTC,1/15/14,ADOPTION,AUST TERRIER,MIX,2,0,Adopt/Live Exit,Australian Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
7/13/13,A270078,STRAY,OTC,7/15/13,RTO,AUST TERRIER,MIX,0,9,Adopt/Live Exit,Australian Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,2,Adolescent (5-12mo)
8/6/13,A272177,STRAY,FIELD,8/7/13,RTO,AUST TERRIER,MIX,2,0,Adopt/Live Exit,Australian Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,1,Adult (1-7yr)
8/14/13,A272762,STRAY,OTC,8/29/13,RESCUE,BORDER TERRIER,MIX,7,0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,15,Adult (1-7yr)
11/23/13,A280310,STRAY,OTC,12/4/13,FOSTER,BORDER TERRIER,MIX,0,3,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,11,Puppy (0-4mo)
5/18/13,A264790,STRAY,OTC,5/28/13,ADOPTION,BORDER TERRIER,MIX,8,0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,10,Senior (8+yr)
9/14/13,A275071,STRAY,OTC,9/24/13,ADOPTION,BORDER TERRIER,MIX,1,0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,10,Adolescent (5-12mo)
11/6/13,A279171,STRAY,OTC,11/15/13,RESCUE,BORDER TERRIER, ,2,0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,9,Adult (1-7yr)
12/17/13,A281706,STRAY,OTC,12/26/13,ADOPTION,BORDER TERRIER,MIX,1,5,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,9,Adult (1-7yr)
5/20/13,A264849,OWNER SURR,OTC,5/28/13,ADOPTION,BORDER TERRIER,MIX,1,0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,8,Adolescent (5-12mo)
12/23/13,A282127,OWNER SURR,OTC,12/31/13,ADOPTION,BORDER TERRIER,SHIH TZU,0,10,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,8,Adolescent (5-12mo)
1/3/14,A282690,OWNER SURR,OTC,1/11/14,RESCUE,BORDER TERRIER,MIX,1,0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,8,Adolescent (5-12mo)
1/27/14,A284175,STRAY,OTC,2/4/14,ADOPTION,BORDER TERRIER,MIX,3,0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,8,Adult (1-7yr)
2/14/13,A257186,STRAY,FIELD,2/21/13,ADOPTION,BORDER TERRIER,MIX,1,6,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
7/8/13,A269523,OWNER SURR,OTC,7/15/13,ADOPTION,BORDER TERRIER,MIX,0,6,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adolescent (5-12mo)
7/15/13,A270160,STRAY,OTC,7/22/13,RESCUE,BORDER TERRIER,MIX,5,0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
10/31/13,A278775,STRAY,OTC,11/7/13,ADOPTION,BORDER TERRIER,MIX,6,0,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Adult (1-7yr)
11/7/13,A279240,STRAY,OTC,11/14/13,ADOPTION,BORDER TERRIER,MIX,0,3.5,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,7,Puppy (0-4mo)
3/13/13,A242219,STRAY,OTC,3/19/13,ADOPTION,BORDER TERRIER, ,0,11,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adolescent (5-12mo)
3/15/13,A259310,STRAY,OTC,3/21/13,ADOPTION,BORDER TERRIER,MIX,0,10,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adolescent (5-12mo)
3/15/13,A259311,STRAY,OTC,3/21/13,RESCUE,BORDER TERRIER,MIX,0,10,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Adolescent (5-12mo)
4/3/13,A260760,FOSTER,OTC,4/9/13,FOSTER,BORDER TERRIER,MIX,0,1.1,Adopt/Live Exit,Border Terrier,Not PB,Not PB,Terrier,Other Terriers,With Breed,6,Puppy (0-4mo)
