iter	RMSE
0	13.18418862
1	12.60461327
2	12.15172063
3	11.97105305
4	11.67480063
5	11.50325303
6	11.45512932
7	11.21361418
8	11.19625304
9	11.10636008
10	11.10506633
11	11.08470269
12	10.85093286
13	10.73934041
14	10.73150491
15	10.56957007
16	10.52033441
17	10.51908621
18	10.50928209
19	10.49863618
20	10.2971524
21	10.29489958
22	10.16140861
23	10.16091429
24	10.03589114
25	10.03555991
26	10.02789035
27	10.02369032
28	10.0216578
29	9.953816723
30	9.953129615
31	9.951210728
32	9.864617102
33	9.85097206
34	9.8442778
35	9.841393215
36	9.615718965
37	9.614856459
38	9.61135887
39	9.600408555
40	9.402335346
41	9.394024704
42	9.389970714
43	9.380144191
44	9.377027968
45	9.34894151
46	9.172409634
47	9.137634252
48	9.08261691
49	9.080889598
50	9.058186064
51	9.048564728
52	9.042894928
53	9.004278068
54	8.973925021
55	8.848301349
56	8.837091533
57	8.835240747
58	8.826630291
59	8.826063583
60	8.76641329
61	8.763867558
62	8.721570136
63	8.674606322
64	8.673569413
65	8.671731979
66	8.543242732
67	8.529834508
68	8.449734933
69	8.446228268
70	8.442091879
71	8.438064211
72	8.433891791
73	8.431539255
74	8.398452856
75	8.350332087
76	8.333631644
77	8.294390448
78	8.29190508
79	8.206419506
80	8.173518159
81	8.133764228
82	8.133381857
83	8.080934688
84	8.062620163
85	8.048701896
86	8.047776312
87	7.990484223
88	7.985802559
89	7.949264052
90	7.910928364
91	7.887588383
92	7.876429422
93	7.869639286
94	7.858595259
95	7.856154132
96	7.855197415
97	7.834951291
98	7.831000411
99	7.783953775
