iter	Passed	Remaining
0	111	11062
1	156	7662
2	253	8208
3	318	7638
4	405	7711
5	495	7769
6	552	7346
7	629	7244
8	666	6737
9	769	6922
10	788	6377
11	827	6067
12	930	6230
13	967	5940
14	1060	6007
15	1176	6177
16	1264	6173
17	1288	5870
18	1388	5920
19	1439	5758
20	1529	5752
21	1555	5514
22	1636	5477
23	1662	5264
24	1740	5221
25	1773	5047
26	1866	5046
27	1943	4996
28	1970	4823
29	2052	4789
30	2081	4633
31	2116	4498
32	2197	4461
33	2228	4325
34	2309	4288
35	2333	4147
36	2422	4124
37	2437	3976
38	2516	3935
39	2563	3844
40	2643	3803
41	2725	3764
42	2814	3730
43	2898	3688
44	2980	3642
45	3072	3606
46	3173	3578
47	3260	3532
48	3346	3482
49	3430	3430
50	3509	3372
51	3592	3316
52	3674	3258
53	3763	3205
54	3850	3150
55	3938	3094
56	4023	3035
57	4116	2980
58	4198	2917
59	4233	2822
60	4311	2756
61	4387	2688
62	4466	2623
63	4551	2560
64	4632	2494
65	4709	2425
66	4804	2366
67	4896	2304
68	4981	2238
69	5090	2181
70	5156	2106
71	5244	2039
72	5334	1972
73	5430	1907
74	5524	1841
75	5624	1776
76	5710	1705
77	5795	1634
78	5887	1565
79	5971	1492
80	6056	1420
81	6134	1346
82	6222	1274
83	6302	1200
84	6382	1126
85	6465	1052
86	6552	979
87	6634	904
88	6723	830
89	6810	756
90	6891	681
91	6972	606
92	7050	530
93	7137	455
94	7225	380
95	7307	304
96	7386	228
97	7468	152
98	7553	76
99	7644	0
